"Ergebnisse der Wahl der Stadtverordnetenversammlungen (SVV) in den kreisfreien Städten
sowie der Wahl der Vertretungen der kreisangehörigen Städte und Gemeinden
am 26. September 2003 im Land Brandenburg",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LV,Listenvereingung
"Kreisfreie Stadt
bzw.
Landkreis",AGS,Gemeindename,"Wahlberechtigte
insgesamt",Wähler,,Ungültige Stimmzettel,Gültige Stimmen,Sitze,,,Verteilung der gültigen Stimmen und Sitze,,,,,,WG,Wählergemeinschaft
,,,,insgesamt,mit Wahlschein,,,insgesamt,weiblich,"Unions-
bürger",Wahlvorschlagsträger,Art,Stimmen,Sitze,Sitze weiblich,"Sitze
Unions-
bürger",EB,Einzelbewerber
,,,,,,,,,,,,,,,,,PV,Politische Vereinigung
,,,A,B,B1,C,D,E,E1,E2,,,,,,,,
,,,,,,,,,,,,,,,,,,
Teltow-Fläming       ,12072169,Jüterbog                     ,11164,4950,397,196,14054,22,5,x,SPD                      ,PA,2595,4,0,x,,
Teltow-Fläming       ,12072169,Jüterbog                     ,11164,4950,397,196,14054,22,5,x,PDS                      ,PA,3269,5,3,x,,
Teltow-Fläming       ,12072169,Jüterbog                     ,11164,4950,397,196,14054,22,5,x,FDP                      ,PA,3011,5,1,x,,
Teltow-Fläming       ,12072169,Jüterbog                     ,11164,4950,397,196,14054,22,5,x,Wählergruppen            ,WG,2150,3,0,x,,
Teltow-Fläming       ,12072232,Luckenwalde                  ,18187,7080,796,207,20432,28,8,x,CDU                      ,PA,4594,6,0,x,,
Teltow-Fläming       ,12072232,Luckenwalde                  ,18187,7080,796,207,20432,28,8,x,SPD                      ,PA,6114,9,3,x,,
Teltow-Fläming       ,12072232,Luckenwalde                  ,18187,7080,796,207,20432,28,8,x,PDS                      ,PA,7111,10,4,x,,
Teltow-Fläming       ,12072232,Luckenwalde                  ,18187,7080,796,207,20432,28,8,x,FDP                      ,PA,1005,1,0,x,,
Teltow-Fläming       ,12072232,Luckenwalde                  ,18187,7080,796,207,20432,28,8,x,Wählergruppen            ,WG,1608,2,1,x,,
Teltow-Fläming       ,12072240,Ludwigsfelde                 ,19798,7744,846,286,21875,28,9,x,CDU                      ,PA,3688,5,1,x,,
Teltow-Fläming       ,12072240,Ludwigsfelde                 ,19798,7744,846,286,21875,28,9,x,SPD                      ,PA,7267,9,2,x,,
Teltow-Fläming       ,12072240,Ludwigsfelde                 ,19798,7744,846,286,21875,28,9,x,PDS                      ,PA,4580,6,3,x,,
Teltow-Fläming       ,12072240,Ludwigsfelde                 ,19798,7744,846,286,21875,28,9,x,FDP                      ,PA,610,1,1,x,,
Teltow-Fläming       ,12072240,Ludwigsfelde                 ,19798,7744,846,286,21875,28,9,x,GRÜNE/B 90               ,PA,317,0,0,x,,
Teltow-Fläming       ,12072240,Ludwigsfelde                 ,19798,7744,846,286,21875,28,9,x,Wählergruppen            ,WG,5413,7,2,x,,
Teltow-Fläming       ,12072297,Niedergörsdorf               ,5819,2956,148,105,8413,18,1,x,CDU                      ,PA,1737,4,0,x,,
Teltow-Fläming       ,12072297,Niedergörsdorf               ,5819,2956,148,105,8413,18,1,x,SPD                      ,PA,2705,6,0,x,,
Teltow-Fläming       ,12072297,Niedergörsdorf               ,5819,2956,148,105,8413,18,1,x,PDS                      ,PA,1757,4,1,x,,
Teltow-Fläming       ,12072297,Niedergörsdorf               ,5819,2956,148,105,8413,18,1,x,Wählergruppen            ,WG,1645,3,0,x,,
Teltow-Fläming       ,12072297,Niedergörsdorf               ,5819,2956,148,105,8413,18,1,x,Einzelbewerber           ,EB,569,1,0,x,,
Teltow-Fläming       ,12072298,Niederer Fläming             ,3249,2061,0,63,5893,16,2,x,CDU                      ,PA,615,2,0,x,,
Teltow-Fläming       ,12072298,Niederer Fläming             ,3249,2061,0,63,5893,16,2,x,SPD                      ,PA,109,0,0,x,,
Teltow-Fläming       ,12072298,Niederer Fläming             ,3249,2061,0,63,5893,16,2,x,Einzelbewerber           ,EB,5129,14,2,x,,
Teltow-Fläming       ,12072298,Niederer Fläming             ,3249,2061,0,63,5893,16,2,x,Schill                   ,PA,40,0,0,x,,
Teltow-Fläming       ,12072312,Nuthe-Urstromtal             ,5815,3163,0,108,8979,18,4,x,CDU                      ,PA,1950,4,0,x,,
Teltow-Fläming       ,12072312,Nuthe-Urstromtal             ,5815,3163,0,108,8979,18,4,x,SPD                      ,PA,3114,6,2,x,,
Teltow-Fläming       ,12072312,Nuthe-Urstromtal             ,5815,3163,0,108,8979,18,4,x,PDS                      ,PA,1266,2,1,x,,
Teltow-Fläming       ,12072312,Nuthe-Urstromtal             ,5815,3163,0,108,8979,18,4,x,FDP                      ,PA,378,1,1,x,,
Teltow-Fläming       ,12072312,Nuthe-Urstromtal             ,5815,3163,0,108,8979,18,4,x,Wählergruppen            ,WG,2271,5,0,x,,
Teltow-Fläming       ,12072340,Rangsdorf                    ,7340,4149,378,113,11951,18,2,x,SPD                      ,PA,1279,2,0,x,,
Teltow-Fläming       ,12072340,Rangsdorf                    ,7340,4149,378,113,11951,18,2,x,PDS                      ,PA,1544,2,0,x,,
Teltow-Fläming       ,12072340,Rangsdorf                    ,7340,4149,378,113,11951,18,2,x,FDP                      ,PA,3114,5,0,x,,
Teltow-Fläming       ,12072340,Rangsdorf                    ,7340,4149,378,113,11951,18,2,x,Wählergruppen            ,WG,3203,5,1,x,,
Teltow-Fläming       ,12072340,Rangsdorf                    ,7340,4149,378,113,11951,18,2,x,Listenvereinigungen      ,LV,2811,4,1,x,,
Teltow-Fläming       ,12072426,Trebbin                      ,7410,3818,163,173,10781,18,5,x,CDU                      ,PA,3370,6,2,x,,
Teltow-Fläming       ,12072426,Trebbin                      ,7410,3818,163,173,10781,18,5,x,SPD                      ,PA,1489,2,0,x,,
Teltow-Fläming       ,12072426,Trebbin                      ,7410,3818,163,173,10781,18,5,x,PDS                      ,PA,1073,2,1,x,,
Teltow-Fläming       ,12072426,Trebbin                      ,7410,3818,163,173,10781,18,5,x,Wählergruppen            ,WG,3989,7,1,x,,
Teltow-Fläming       ,12072426,Trebbin                      ,7410,3818,163,173,10781,18,5,x,Listenvereinigungen      ,LV,595,1,1,x,,
Teltow-Fläming       ,12072426,Trebbin                      ,7410,3818,163,173,10781,18,5,x,Einzelbewerber           ,EB,265,0,0,x,,
Teltow-Fläming       ,12072477,Zossen                       ,13836,6235,605,357,17424,28,6,x,CDU                      ,PA,3356,5,1,x,,
Teltow-Fläming       ,12072477,Zossen                       ,13836,6235,605,357,17424,28,6,x,SPD                      ,PA,4107,7,2,x,,
Teltow-Fläming       ,12072477,Zossen                       ,13836,6235,605,357,17424,28,6,x,PDS                      ,PA,1383,2,0,x,,
Teltow-Fläming       ,12072477,Zossen                       ,13836,6235,605,357,17424,28,6,x,FDP                      ,PA,159,0,0,x,,
Teltow-Fläming       ,12072477,Zossen                       ,13836,6235,605,357,17424,28,6,x,GRÜNE/B 90               ,PA,259,1,0,x,,
Teltow-Fläming       ,12072477,Zossen                       ,13836,6235,605,357,17424,28,6,x,Wählergruppen            ,WG,6707,11,2,x,,
Teltow-Fläming       ,12072477,Zossen                       ,13836,6235,605,357,17424,28,6,x,Einzelbewerber           ,EB,1453,2,1,x,,
Uckermark            ,12073008,Angermünde                   ,12902,6251,0,295,17545,28,5,x,CDU                      ,PA,2642,4,1,x,,
Uckermark            ,12073008,Angermünde                   ,12902,6251,0,295,17545,28,5,x,SPD                      ,PA,3347,5,1,x,,
Uckermark            ,12073008,Angermünde                   ,12902,6251,0,295,17545,28,5,x,PDS                      ,PA,2958,5,1,x,,
Uckermark            ,12073008,Angermünde                   ,12902,6251,0,295,17545,28,5,x,FDP                      ,PA,453,1,0,x,,
Uckermark            ,12073008,Angermünde                   ,12902,6251,0,295,17545,28,5,x,GRÜNE/B 90               ,PA,225,0,0,x,,
Uckermark            ,12073008,Angermünde                   ,12902,6251,0,295,17545,28,5,x,Wählergruppen            ,WG,7567,12,1,x,,
Uckermark            ,12073008,Angermünde                   ,12902,6251,0,295,17545,28,5,x,Einzelbewerber           ,EB,353,1,1,x,,
Uckermark            ,12073032,Berkholz-Meyenburg           ,993,703,0,16,2053,10,2,x,CDU                      ,PA,470,2,0,x,,
Uckermark            ,12073032,Berkholz-Meyenburg           ,993,703,0,16,2053,10,2,x,FDP                      ,PA,875,4,0,x,,
Uckermark            ,12073032,Berkholz-Meyenburg           ,993,703,0,16,2053,10,2,x,Einzelbewerber           ,EB,708,4,2,x,,
Uckermark            ,12073069,Boitzenburger Land           ,3432,1570,0,49,4472,16,4,x,CDU                      ,PA,2004,7,1,x,,
Uckermark            ,12073069,Boitzenburger Land           ,3432,1570,0,49,4472,16,4,x,SPD                      ,PA,182,1,0,x,,
Uckermark            ,12073069,Boitzenburger Land           ,3432,1570,0,49,4472,16,4,x,PDS                      ,PA,852,3,2,x,,
Uckermark            ,12073069,Boitzenburger Land           ,3432,1570,0,49,4472,16,4,x,GRÜNE/B 90               ,PA,171,1,1,x,,
Uckermark            ,12073069,Boitzenburger Land           ,3432,1570,0,49,4472,16,4,x,Wählergruppen            ,WG,911,3,0,x,,
Uckermark            ,12073069,Boitzenburger Land           ,3432,1570,0,49,4472,16,4,x,Einzelbewerber           ,EB,352,1,0,x,,
Uckermark            ,12073085,Brüssow                      ,1981,961,0,43,2683,16,6,x,CDU                      ,PA,563,3,2,x,,
Uckermark            ,12073085,Brüssow                      ,1981,961,0,43,2683,16,6,x,SPD                      ,PA,1504,9,2,x,,
Uckermark            ,12073085,Brüssow                      ,1981,961,0,43,2683,16,6,x,PDS                      ,PA,501,3,2,x,,
Uckermark            ,12073085,Brüssow                      ,1981,961,0,43,2683,16,6,x,Einzelbewerber           ,EB,115,1,0,x,,
Uckermark            ,12073093,Carmzow-Wallmow              ,570,406,0,11,1168,10,2,x,Wählergruppen            ,WG,1047,9,2,x,,
Uckermark            ,12073093,Carmzow-Wallmow              ,570,406,0,11,1168,10,2,x,Einzelbewerber           ,EB,121,1,0,x,,
Uckermark            ,12073097,Casekow                      ,1914,1266,0,47,3626,16,7,x,SPD                      ,PA,151,1,1,x,,
Uckermark            ,12073097,Casekow                      ,1914,1266,0,47,3626,16,7,x,PDS                      ,PA,578,2,0,x,,
Uckermark            ,12073097,Casekow                      ,1914,1266,0,47,3626,16,7,x,Wählergruppen            ,WG,2897,13,6,x,,
Uckermark            ,12073157,Flieth-Stegelitz             ,557,286,0,6,826,10,3,x,PDS                      ,PA,81,1,0,x,,
Uckermark            ,12073157,Flieth-Stegelitz             ,557,286,0,6,826,10,3,x,Wählergruppen            ,WG,385,5,2,x,,
Uckermark            ,12073157,Flieth-Stegelitz             ,557,286,0,6,826,10,3,x,Einzelbewerber           ,EB,360,4,1,x,,
Uckermark            ,12073189,Gartz (Oder)                 ,2194,1192,0,54,3378,24,4,x,CDU                      ,PA,1013,7,2,x,,
Uckermark            ,12073189,Gartz (Oder)                 ,2194,1192,0,54,3378,24,4,x,SPD                      ,PA,530,4,0,x,,
Uckermark            ,12073189,Gartz (Oder)                 ,2194,1192,0,54,3378,24,4,x,PDS                      ,PA,515,4,0,x,,
Uckermark            ,12073189,Gartz (Oder)                 ,2194,1192,0,54,3378,24,4,x,Wählergruppen            ,WG,1320,9,2,x,,
Uckermark            ,12073201,Gerswalde                    ,1556,665,0,28,1906,12,3,x,CDU                      ,PA,715,5,2,x,,
Uckermark            ,12073201,Gerswalde                    ,1556,665,0,28,1906,12,3,x,PDS                      ,PA,246,2,1,x,,
Uckermark            ,12073201,Gerswalde                    ,1556,665,0,28,1906,12,3,x,Wählergruppen            ,WG,945,5,0,x,,
Uckermark            ,12073216,Göritz                       ,752,325,0,12,913,10,2,x,SPD                      ,PA,493,6,1,x,,
Uckermark            ,12073216,Göritz                       ,752,325,0,12,913,10,2,x,PDS                      ,PA,127,1,0,x,,
Uckermark            ,12073216,Göritz                       ,752,325,0,12,913,10,2,x,Wählergruppen            ,WG,293,3,1,x,,
Uckermark            ,12073225,Gramzow                      ,1818,1046,0,46,2926,12,1,x,CDU                      ,PA,1072,4,0,x,,
Uckermark            ,12073225,Gramzow                      ,1818,1046,0,46,2926,12,1,x,SPD                      ,PA,1105,5,1,x,,
Uckermark            ,12073225,Gramzow                      ,1818,1046,0,46,2926,12,1,x,Wählergruppen            ,WG,629,3,0,x,,
Uckermark            ,12073225,Gramzow                      ,1818,1046,0,46,2926,12,1,x,Einzelbewerber           ,EB,120,0,0,x,,
Uckermark            ,12073261,Grünow                       ,878,555,0,3,1633,10,4,x,CDU                      ,PA,118,1,1,x,,
Uckermark            ,12073261,Grünow                       ,878,555,0,3,1633,10,4,x,Wählergruppen            ,WG,190,1,0,x,,
Uckermark            ,12073261,Grünow                       ,878,555,0,3,1633,10,4,x,Einzelbewerber           ,EB,1325,8,3,x,,
Uckermark            ,12073309,Hohenselchow-Groß Pinnow     ,761,565,0,27,1584,10,3,x,SPD                      ,PA,92,1,0,x,,
Uckermark            ,12073309,Hohenselchow-Groß Pinnow     ,761,565,0,27,1584,10,3,x,PDS                      ,PA,25,0,0,x,,
Uckermark            ,12073309,Hohenselchow-Groß Pinnow     ,761,565,0,27,1584,10,3,x,Wählergruppen            ,WG,1267,8,3,x,,
Uckermark            ,12073309,Hohenselchow-Groß Pinnow     ,761,565,0,27,1584,10,3,x,Einzelbewerber           ,EB,200,1,0,x,,
Uckermark            ,12073384,Lychen                       ,3085,1632,0,53,4650,16,3,x,CDU                      ,PA,1688,6,0,x,,
Uckermark            ,12073384,Lychen                       ,3085,1632,0,53,4650,16,3,x,SPD                      ,PA,585,2,0,x,,
Uckermark            ,12073384,Lychen                       ,3085,1632,0,53,4650,16,3,x,PDS                      ,PA,1328,5,3,x,,
Uckermark            ,12073384,Lychen                       ,3085,1632,0,53,4650,16,3,x,Wählergruppen            ,WG,545,2,0,x,,
Uckermark            ,12073384,Lychen                       ,3085,1632,0,53,4650,16,3,x,Einzelbewerber           ,EB,504,1,0,x,,
Uckermark            ,12073386,Mark Landin                  ,953,490,0,20,1399,10,2,x,SPD                      ,PA,622,4,1,x,,
Uckermark            ,12073386,Mark Landin                  ,953,490,0,20,1399,10,2,x,FDP                      ,PA,113,1,0,x,,
Uckermark            ,12073386,Mark Landin                  ,953,490,0,20,1399,10,2,x,Wählergruppen            ,WG,77,1,0,x,,
Uckermark            ,12073386,Mark Landin                  ,953,490,0,20,1399,10,2,x,Einzelbewerber           ,EB,587,4,1,x,,
Uckermark            ,12073393,Mescherin                    ,644,410,0,19,1156,15,2,x,PDS                      ,PA,145,2,0,x,,
Uckermark            ,12073393,Mescherin                    ,644,410,0,19,1156,15,2,x,Wählergruppen            ,WG,1011,13,2,x,,
Uckermark            ,12073396,Milmersdorf                  ,1478,718,0,26,2033,12,2,x,CDU                      ,PA,377,2,0,x,,
Uckermark            ,12073396,Milmersdorf                  ,1478,718,0,26,2033,12,2,x,SPD                      ,PA,1069,7,2,x,,
Uckermark            ,12073396,Milmersdorf                  ,1478,718,0,26,2033,12,2,x,PDS                      ,PA,278,1,0,x,,
Uckermark            ,12073396,Milmersdorf                  ,1478,718,0,26,2033,12,2,x,GRÜNE/B 90               ,PA,157,1,0,x,,
Uckermark            ,12073396,Milmersdorf                  ,1478,718,0,26,2033,12,2,x,Einzelbewerber           ,EB,152,1,0,x,,
Uckermark            ,12073404,Mittenwalde                  ,412,280,0,15,789,8,3,x,PDS                      ,PA,43,0,0,x,,
Uckermark            ,12073404,Mittenwalde                  ,412,280,0,15,789,8,3,x,Wählergruppen            ,WG,746,8,3,x,,
Uckermark            ,12073429,Nordwestuckermark            ,4401,2368,0,136,6570,18,4,x,CDU                      ,PA,954,3,0,x,,
Uckermark            ,12073429,Nordwestuckermark            ,4401,2368,0,136,6570,18,4,x,SPD                      ,PA,648,2,1,x,,
Uckermark            ,12073429,Nordwestuckermark            ,4401,2368,0,136,6570,18,4,x,PDS                      ,PA,202,0,0,x,,
Uckermark            ,12073429,Nordwestuckermark            ,4401,2368,0,136,6570,18,4,x,Wählergruppen            ,WG,3239,9,3,x,,
Uckermark            ,12073429,Nordwestuckermark            ,4401,2368,0,136,6570,18,4,x,Einzelbewerber           ,EB,1527,4,0,x,,
Uckermark            ,12073430,Oberuckersee                 ,1654,901,0,38,2550,12,1,x,CDU                      ,PA,255,1,0,x,,
Uckermark            ,12073430,Oberuckersee                 ,1654,901,0,38,2550,12,1,x,SPD                      ,PA,731,3,0,x,,
Uckermark            ,12073430,Oberuckersee                 ,1654,901,0,38,2550,12,1,x,PDS                      ,PA,204,1,1,x,,
Uckermark            ,12073430,Oberuckersee                 ,1654,901,0,38,2550,12,1,x,Wählergruppen            ,WG,1277,7,0,x,,
Uckermark            ,12073430,Oberuckersee                 ,1654,901,0,38,2550,12,1,x,Einzelbewerber           ,EB,83,0,0,x,,
Uckermark            ,12073440,Pinnow                       ,773,437,0,4,1285,10,3,x,CDU                      ,PA,186,2,0,x,,
Uckermark            ,12073440,Pinnow                       ,773,437,0,4,1285,10,3,x,SPD                      ,PA,528,4,0,x,,
Uckermark            ,12073440,Pinnow                       ,773,437,0,4,1285,10,3,x,PDS                      ,PA,417,3,2,x,,
Uckermark            ,12073440,Pinnow                       ,773,437,0,4,1285,10,3,x,Einzelbewerber           ,EB,154,1,1,x,,
Uckermark            ,12073452,Prenzlau                     ,17633,6871,0,237,19752,28,4,x,CDU                      ,PA,4848,7,0,x,,
Uckermark            ,12073452,Prenzlau                     ,17633,6871,0,237,19752,28,4,x,SPD                      ,PA,3965,6,1,x,,
Uckermark            ,12073452,Prenzlau                     ,17633,6871,0,237,19752,28,4,x,PDS                      ,PA,4579,7,2,x,,
Uckermark            ,12073452,Prenzlau                     ,17633,6871,0,237,19752,28,4,x,FDP                      ,PA,1460,2,0,x,,
Uckermark            ,12073452,Prenzlau                     ,17633,6871,0,237,19752,28,4,x,GRÜNE/B 90               ,PA,752,1,0,x,,
Uckermark            ,12073452,Prenzlau                     ,17633,6871,0,237,19752,28,4,x,Wählergruppen            ,WG,2872,4,1,x,,
Uckermark            ,12073452,Prenzlau                     ,17633,6871,0,237,19752,28,4,x,Einzelbewerber           ,EB,1276,1,0,x,,
